Category,Country,Tourists,Locals,Latitude,Longitude
Overtourism,Croatia,"5,75,87,000","41,70,600",45.099998,15.2
Overtourism,Iceland,"18,91,000","3,34,250",64.963051,-19.020836
Overtourism,Hungary,"5,28,90,000","98,17,960",47.162495,19.503304
Overtourism,Denmark,"2,86,92,000","57,31,120",56.26392,9.501785
Overtourism,France,"20,29,30,000","6,68,96,110",46.603354,1.8883335
Overtourism,Czech Republic,"3,09,15,000","1,05,61,630",49.7439047,15.3381061
Overtourism,Singapore,"1,64,04,000","56,07,280",1.357107,103.8194992
Overtourism,Cyprus,"32,86,000","11,70,130",34.9823018,33.1451285
Overtourism,Greece,"2,80,71,000","1,07,46,740",38.9953683,21.9877132
Overtourism,Spain,"11,55,61,000","4,64,43,960",39.3260685,-4.8379791
